customer_id,customer_name,country,signup_date
1,Cust_1,Canada,2022-01-01
2,Cust_2,Germany,2022-01-02
3,Cust_3,UK,2022-01-03
4,Cust_4,Germany,2022-01-04
5,Cust_5,Germany,2022-01-05
6,Cust_6,USA,2022-01-06
7,Cust_7,UK,2022-01-07
8,Cust_8,UK,2022-01-08
9,Cust_9,UK,2022-01-09
10,Cust_10,Germany,2022-01-10
11,Cust_11,Canada,2022-01-11
12,Cust_12,UK,2022-01-12
13,Cust_13,Germany,2022-01-13
14,Cust_14,USA,2022-01-14
15,Cust_15,Canada,2022-01-15
16,Cust_16,USA,2022-01-16
17,Cust_17,Canada,2022-01-17
18,Cust_18,Germany,2022-01-18
19,Cust_19,India,2022-01-19
20,Cust_20,Canada,2022-01-20
21,Cust_21,USA,2022-01-21
22,Cust_22,Germany,2022-01-22
23,Cust_23,Canada,2022-01-23
24,Cust_24,India,2022-01-24
25,Cust_25,India,2022-01-25
26,Cust_26,UK,2022-01-26
27,Cust_27,UK,2022-01-27
28,Cust_28,USA,2022-01-28
29,Cust_29,Canada,2022-01-29
30,Cust_30,Canada,2022-01-30
31,Cust_31,UK,2022-01-31
32,Cust_32,Canada,2022-02-01
33,Cust_33,Canada,2022-02-02
34,Cust_34,India,2022-02-03
35,Cust_35,UK,2022-02-04
36,Cust_36,Germany,2022-02-05
37,Cust_37,UK,2022-02-06
38,Cust_38,Germany,2022-02-07
39,Cust_39,India,2022-02-08
40,Cust_40,USA,2022-02-09
41,Cust_41,Canada,2022-02-10
42,Cust_42,India,2022-02-11
43,Cust_43,Canada,2022-02-12
44,Cust_44,USA,2022-02-13
45,Cust_45,USA,2022-02-14
46,Cust_46,India,2022-02-15
47,Cust_47,USA,2022-02-16
48,Cust_48,Germany,2022-02-17
49,Cust_49,USA,2022-02-18
50,Cust_50,Canada,2022-02-19
51,Cust_51,Canada,2022-02-20
52,Cust_52,Canada,2022-02-21
53,Cust_53,Canada,2022-02-22
54,Cust_54,Germany,2022-02-23
55,Cust_55,UK,2022-02-24
56,Cust_56,India,2022-02-25
57,Cust_57,Canada,2022-02-26
58,Cust_58,USA,2022-02-27
59,Cust_59,Canada,2022-02-28
60,Cust_60,USA,2022-03-01
61,Cust_61,USA,2022-03-02
62,Cust_62,Canada,2022-03-03
63,Cust_63,Germany,2022-03-04
64,Cust_64,USA,2022-03-05
65,Cust_65,USA,2022-03-06
66,Cust_66,Canada,2022-03-07
67,Cust_67,USA,2022-03-08
68,Cust_68,USA,2022-03-09
69,Cust_69,Canada,2022-03-10
70,Cust_70,Canada,2022-03-11
71,Cust_71,India,2022-03-12
72,Cust_72,Germany,2022-03-13
73,Cust_73,Germany,2022-03-14
74,Cust_74,USA,2022-03-15
75,Cust_75,Germany,2022-03-16
76,Cust_76,USA,2022-03-17
77,Cust_77,India,2022-03-18
78,Cust_78,Canada,2022-03-19
79,Cust_79,Canada,2022-03-20
80,Cust_80,Canada,2022-03-21
81,Cust_81,Germany,2022-03-22
82,Cust_82,India,2022-03-23
83,Cust_83,Germany,2022-03-24
84,Cust_84,Germany,2022-03-25
85,Cust_85,India,2022-03-26
86,Cust_86,India,2022-03-27
87,Cust_87,India,2022-03-28
88,Cust_88,India,2022-03-29
89,Cust_89,Canada,2022-03-30
90,Cust_90,UK,2022-03-31
91,Cust_91,UK,2022-04-01
92,Cust_92,India,2022-04-02
93,Cust_93,UK,2022-04-03
94,Cust_94,UK,2022-04-04
95,Cust_95,India,2022-04-05
96,Cust_96,UK,2022-04-06
97,Cust_97,Germany,2022-04-07
98,Cust_98,USA,2022-04-08
99,Cust_99,USA,2022-04-09
100,Cust_100,India,2022-04-10
101,Cust_101,Canada,2022-04-11
102,Cust_102,India,2022-04-12
103,Cust_103,Canada,2022-04-13
104,Cust_104,USA,2022-04-14
105,Cust_105,India,2022-04-15
106,Cust_106,Germany,2022-04-16
107,Cust_107,UK,2022-04-17
108,Cust_108,Canada,2022-04-18
109,Cust_109,UK,2022-04-19
110,Cust_110,UK,2022-04-20
111,Cust_111,India,2022-04-21
112,Cust_112,UK,2022-04-22
113,Cust_113,Germany,2022-04-23
114,Cust_114,UK,2022-04-24
115,Cust_115,India,2022-04-25
116,Cust_116,Germany,2022-04-26
117,Cust_117,USA,2022-04-27
118,Cust_118,UK,2022-04-28
119,Cust_119,India,2022-04-29
120,Cust_120,USA,2022-04-30
121,Cust_121,USA,2022-05-01
122,Cust_122,Canada,2022-05-02
123,Cust_123,Germany,2022-05-03
124,Cust_124,UK,2022-05-04
125,Cust_125,India,2022-05-05
126,Cust_126,Canada,2022-05-06
127,Cust_127,Germany,2022-05-07
128,Cust_128,Canada,2022-05-08
129,Cust_129,Germany,2022-05-09
130,Cust_130,Germany,2022-05-10
131,Cust_131,UK,2022-05-11
132,Cust_132,Germany,2022-05-12
133,Cust_133,Canada,2022-05-13
134,Cust_134,Germany,2022-05-14
135,Cust_135,UK,2022-05-15
136,Cust_136,UK,2022-05-16
137,Cust_137,Canada,2022-05-17
138,Cust_138,USA,2022-05-18
139,Cust_139,USA,2022-05-19
140,Cust_140,Germany,2022-05-20
141,Cust_141,India,2022-05-21
142,Cust_142,Germany,2022-05-22
143,Cust_143,Canada,2022-05-23
144,Cust_144,Canada,2022-05-24
145,Cust_145,Canada,2022-05-25
146,Cust_146,Canada,2022-05-26
147,Cust_147,Canada,2022-05-27
148,Cust_148,UK,2022-05-28
149,Cust_149,USA,2022-05-29
150,Cust_150,Canada,2022-05-30
151,Cust_151,India,2022-05-31
152,Cust_152,India,2022-06-01
153,Cust_153,India,2022-06-02
154,Cust_154,India,2022-06-03
155,Cust_155,UK,2022-06-04
156,Cust_156,India,2022-06-05
157,Cust_157,Canada,2022-06-06
158,Cust_158,Germany,2022-06-07
159,Cust_159,India,2022-06-08
160,Cust_160,UK,2022-06-09
161,Cust_161,UK,2022-06-10
162,Cust_162,India,2022-06-11
